OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,prop_use_code,ShapeSTArea,ShapeSTLength
15256,34071.1220,N,202118974,594000,2021/11/04 08:00:00+00,11,6949.05054948221,350.858810999985
15257,34082.0103,N,202119020,750000,2021/10/28 08:00:00+00,11,317319.420279315,2511.25841899424
15258,34083.0011,Y,202119020,750000,2021/10/28 08:00:00+00,91,25179.3953267024,1001.3995251842
15259,35024.0706,N,202119085,399995,2021/11/02 08:00:00+00,11,5509.69101135635,309.936310257047
15260,35024.0718,Y,202118993,464995,2021/11/02 08:00:00+00,11,6473.37271319395,358.940472334622
15261,35043.0621,N,202119123,220000,2021/11/10 08:00:00+00,11,6328.03829322449,356.754044988727
15262,35043.0648,N,202118961,240000,2021/11/02 08:00:00+00,11,5979.8209046676,339.683926809142
15263,35043.1244,N,202119072,295000,2021/11/05 08:00:00+00,11,6007.8136282376,340.044674491256
15264,35044.0523,N,202119112,245000,2021/11/02 08:00:00+00,11,7834.08534101673,412.863589250743
15265,35051.0903,N,202118989,275000,2021/09/28 08:00:00+00,12,5097.56621674301,303.84137281314
15266,35054.1222,N,202118950,254872,2021/11/08 08:00:00+00,11,5403.91198753635,309.907712531118
15267,35054.2101,N,202119062,255000,2021/11/09 08:00:00+00,11,5097.65656369426,303.908903380654
15268,35062.4613,N,202119021,382000,2021/10/29 08:00:00+00,11,6184.01662569201,347.450763921847
15269,35063.4109,N,202119034,201000,2021/11/05 08:00:00+00,11,6000.03009324741,340.002114515608
15270,35071.2711,N,202119008,335000,2021/11/08 08:00:00+00,11,7245.0262204776,389.800798793208
15271,35073.4902,N,202119066,285000,2021/11/10 08:00:00+00,12,6018.40255853539,339.584757240613
15272,35082.1003,N,202119091,244500,2021/11/09 08:00:00+00,11,4809.06680779159,299.097615551422
15273,35084.0921,N,202119097,330500,2021/11/09 08:00:00+00,11,5552.93117525606,322.117687123641
15274,35084.1303,N,202118932,345000,2021/11/05 08:00:00+00,11,5600.00303224237,324.000133388983
15275,35091.2009,N,202119124,260000,2021/11/10 08:00:00+00,11,6533.48181890953,381.346800280141
15276,35092.1002,N,202118947,632500,2021/10/29 08:00:00+00,13,6600.00229929539,364.000033612541
15277,35164.2408,Y,202119015,145000,2021/11/08 08:00:00+00,91,5974.09230438524,338.968619487964
15278,35164.2409,Y,202119015,145000,2021/11/08 08:00:00+00,91,5973.59162557063,338.947646511551
